cell	time	x	y	z	radius	self	parent	child1	child2
2.0(2_green)	1	339.0	103.0	18.0	4.25	2	-1	-1	-1
4.0(4_blue)	1	289.0	192.0	19.0	4.25	4	-1	-1	-1
6.0(6_fuchia)	1	133.0	172.0	20.0	4.25	6	-1	-1	-1
8.0(8_gray)	1	353.0	188.0	11.0	4.25	8	-1	-1	-1
9.0(9_orange++)	1	286.0	228.0	8.0	4.25	9	-1	-1	-1
10.0(10_yellow++)	1	94.0	241.0	19.0	4.25	10	-1	-1	-1
11.0(11_green++)	1	171.0	192.0	8.0	4.25	11	-1	-1	-1
12.0(12_skyblue++)	1	263.0	298.0	16.0	4.25	12	-1	-1	-1
13.0(13_blue++)	1	289.0	96.0	8.0	4.25	13	-1	-1	-1
14.0(14_purple++)	1	92.0	215.0	10.0	4.25	14	-1	-1	-1
15.0(15_fuchia++)	1	144.0	298.0	20.0	4.25	15	-1	-1	-1
16.0(16_magenta++)	1	220.0	245.0	20.0	4.25	16	-1	-1	-1
17.0(17_gray++)	1	197.0	323.0	16.0	4.25	17	-1	-1	-1
18.0(18_orange--)	1	329.0	264.0	16.0	4.25	18	-1	-1	-1
19.0(19_yellow--)	1	222.0	126.0	20.0	4.25	19	-1	-1	-1
20.0(20_green--)	1	186.0	103.0	11.0	4.25	20	-1	-1	-1
21.0(21_skyblue--)	1	119.0	329.0	13.0	4.25	21	-1	-1	-1
22.0(22_blue--)	1	252.0	158.0	7.0	4.25	22	-1	-1	-1
23.0(23_purple--)	1	123.0	147.0	11.0	4.25	23	-1	-1	-1
New nucleus27	1	53.0	272.0	13.0	4.25	123	-1	-1	-1
New nucleus22	1	363.0	106.0	7.0	4.25	124	-1	-1	-1
New nucleus24	1	147.0	284.0	7.0	4.25	125	-1	-1	-1
New nucleus23	1	419.0	131.0	14.0	4.25	126	-1	-1	-1
New nucleus21	1	262.0	72.0	15.0	4.25	127	-1	-1	-1
New nucleus26	1	415.0	207.0	13.0	4.25	128	-1	-1	-1
New nucleus25	1	226.0	258.0	7.0	4.25	129	-1	-1	-1
