cell	child1	child2
AB	ABa	ABp
ABa	ABal	ABar
ABal	ABala	ABalp
ABala	ABalaa	ABalap
ABalaa	ABalaaa	ABalaap
ABalaaa	ABalaaaa	ABalaaap
ABalaaaa	ABalaaaal	ABalaaaar
ABalaaaal	ABalaaaala	ABalaaaalp
ABalaaaala	ABalaaaalaa	ABalaaaalap
ABalaaaalp	ABalaaaalpa	ABalaaaalpp
ABalaaaar	ABalaaaarl	ABalaaaarr
ABalaaaarl	ABalaaaarla	ABalaaaarlp
ABalaaaarr	ABalaaaarra	ABalaaaarrp
ABalaaap	ABalaaapa	ABalaaapp
ABalaaapa	ABalaaapaa	ABalaaapap
ABalaaapaa	ABalaaapaaa	ABalaaapaap
ABalaaapap	ABalaaapapa	ABalaaapapp
ABalaaapp	ABalaaappl	ABalaaappr
ABalaaappl	ABalaaappla	ABalaaapplp
ABalaaappr	ABalaaappra	ABalaaapprp
ABalaap	ABalaapa	ABalaapp
ABalaapa	ABalaapaa	ABalaapap
ABalaapaa	ABalaapaaa	ABalaapaap
ABalaapaaa	ABalaapaaaa	ABalaapaaap
ABalaapaap	ABalaapaapa	ABalaapaapp
ABalaapap	ABalaapapa	ABalaapapp
ABalaapapp	ABalaapappa	ABalaapappp
ABalaapp	ABalaappa	ABalaappp
ABalaappa	ABalaappaa	ABalaappap
ABalaappap	ABalaappapa	ABalaappapp
ABalaappp	ABalaapppa	ABalaapppp
ABalaapppa	ABalaapppaa	ABalaapppap
ABalaapppp	ABalaappppa	ABalaappppp
ABalap	ABalapa	ABalapp
ABalapa	ABalapaa	ABalapap
ABalapaa	ABalapaaa	ABalapaap
ABalapaaa	ABalapaaaa	ABalapaaap
ABalapaaap	ABalapaaapa	ABalapaaapp
ABalapaap	ABalapaapa	ABalapaapp
ABalapaapa	ABalapaapaa	ABalapaapap
ABalapaapp	ABalapaappa	ABalapaappp
ABalapap	ABalapapa	ABalapapp
ABalapapa	ABalapapaa	ABalapapap
ABalapapap	ABalapapapa	ABalapapapp
ABalapapp	ABalapappa	ABalapappp
ABalapappa	ABalapappaa	ABalapappap
ABalapappp	ABalapapppa	ABalapapppp
ABalapp	ABalappa	ABalappp
ABalappa	ABalappaa	ABalappap
ABalappaa	ABalappaaa	ABalappaap
ABalappaap	ABalappaapa	ABalappaapp
ABalappap	ABalappapa	ABalappapp
ABalappapa	ABalappapaa	ABalappapap
ABalappapp	ABalappappa	ABalappappp
ABalappp	ABalapppa	ABalapppp
ABalapppa	ABalapppaa	ABalapppap
ABalapppap	ABalapppapa	ABalapppapp
ABalapppp	ABalappppa	ABalappppp
ABalappppa	ABalappppaa	ABalappppap
ABalappppp	ABalapppppa	ABalapppppp
ABalp	ABalpa	ABalpp
ABalpa	ABalpaa	ABalpap
ABalpaa	ABalpaaa	ABalpaap
ABalpaaa	ABalpaaaa	ABalpaaap
ABalpaaaa	ABalpaaaaa	ABalpaaaap
ABalpaaaaa	ABalpaaaaaa	ABalpaaaaap
ABalpaaaap	ABalpaaaapa	ABalpaaaapp
ABalpaaap	ABalpaaapa	ABalpaaapp
ABalpaaapa	ABalpaaapaa	ABalpaaapap
ABalpaaapp	ABalpaaappa	ABalpaaappp
ABalpaap	ABalpaapa	ABalpaapp
ABalpaapa	ABalpaapaa	ABalpaapap
ABalpaapaa	ABalpaapaaa	ABalpaapaap
ABalpaapap	ABalpaapapa	ABalpaapapp
ABalpaapp	ABalpaappa	ABalpaappp
ABalpaappa	ABalpaappaa	ABalpaappap
ABalpaappp	ABalpaapppa	ABalpaapppp
ABalpap	ABalpapa	ABalpapp
ABalpapa	ABalpapaa	ABalpapap
ABalpapaa	ABalpapaaa	ABalpapaap
ABalpapaaa	ABalpapaaaa	ABalpapaaap
ABalpapaap	ABalpapaapa	ABalpapaapp
ABalpapap	ABalpapapa	ABalpapapp
ABalpapapa	ABalpapapaa	ABalpapapap
ABalpapapp	ABalpapappa	ABalpapappp
ABalpapp	ABalpappa	ABalpappp
ABalpappa	ABalpappaa	ABalpappap
ABalpappaa	ABalpappaaa	ABalpappaap
ABalpappap	ABalpappapa	ABalpappapp
ABalpappp	ABalpapppa	ABalpapppp
ABalpapppp	ABalpappppa	ABalpappppp
ABalpp	ABalppa	ABalppp
ABalppa	ABalppaa	ABalppap
ABalppaa	ABalppaaa	ABalppaap
ABalppaaa	ABalppaaaa	ABalppaaap
ABalppaaap	ABalppaaapa	ABalppaaapp
ABalppaap	ABalppaapa	ABalppaapp
ABalppaapp	ABalppaappa	ABalppaappp
ABalppap	ABalppapa	ABalppapp
ABalppapa	ABalppapaa	ABalppapap
ABalppapaa	ABalppapaaa	ABalppapaap
ABalppapap	ABalppapapa	ABalppapapp
ABalppapp	ABalppappa	ABalppappp
ABalppappa	ABalppappaa	ABalppappap
ABalppappp	ABalppapppa	ABalppapppp
ABalppp	ABalpppa	ABalpppp
ABalpppa	ABalpppaa	ABalpppap
ABalpppaa	ABalpppaaa	ABalpppaap
ABalpppaaa	ABalpppaaaa	ABalpppaaap
ABalpppaap	ABalpppaapa	ABalpppaapp
ABalpppap	ABalpppapa	ABalpppapp
ABalpppapa	ABalpppapaa	ABalpppapap
ABalpppapp	ABalpppappa	ABalpppappp
